id,routing_id,pdv_id,position_order,objectifs,status,arrived_at,completed_at,geofence_validated,geolocation_lat,geolocation_lng,precision_gps,result_notes,visite_id,created_at,updated_at
"09cc54c5-136a-4e50-97d8-175cfcf57121","0304f554-4fad-4ab2-b8ab-7f6d4d682ed9","RTG-TREICH-001","1","{""photos"":true,""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"b79c7277-d6e6-4788-8750-95124db9cc1f","0304f554-4fad-4ab2-b8ab-7f6d4d682ed9","RTG-TREICH-002","2","{""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"727ab982-0f1d-4e46-8303-d5c05751fd78","0304f554-4fad-4ab2-b8ab-7f6d4d682ed9","RTG-TREICH-003","3","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"270837e4-4b3d-4b05-b6c8-1b28be372eb5","0304f554-4fad-4ab2-b8ab-7f6d4d682ed9","RTG-TREICH-004","4","{""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"0c93b4fb-a76d-47a7-8875-7bfd4e82cc25","0304f554-4fad-4ab2-b8ab-7f6d4d682ed9","RTG-TREICH-005","5","{""photos"":true,""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"4ce09e44-770a-4933-a008-e9991080140d","99525b73-f5bf-4518-8abd-311172e7fecd","RTG-TREICH-006","1","{""photos"":true,""prospection"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"c76a96da-2460-4e2b-9711-f2a7a0e2792a","99525b73-f5bf-4518-8abd-311172e7fecd","RTG-TREICH-007","2","{""photos"":true,""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"2faa156c-6f0c-479a-9dea-2504c95400b5","99525b73-f5bf-4518-8abd-311172e7fecd","RTG-TREICH-008","3","{""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"b28abd65-884e-4eac-905b-1922cf46e558","99525b73-f5bf-4518-8abd-311172e7fecd","RTG-TREICH-009","4","{""prospection"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"76c5fa23-5b9e-4dbb-aa40-0c9b6fbcfecc","99525b73-f5bf-4518-8abd-311172e7fecd","RTG-TREICH-010","5","{""photos"":true,""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"32f4205f-01ad-4f85-91c4-30b04c3be63f","61bd4ed9-a8c3-476a-acd1-db1184293986","RTG-TREICH-011","1","{""photos"":true,""releve_stock"":true,""merchandising"":true}","completed",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
